电影名,导演,上映年份,类型,评分,评语,豆瓣链接,来源豆列,,,,同导演的非女性主义代表作,评分2
图雅的婚事,,2006,,8,,https://movie.douban.com/subject/1966460/,女性电影TOP300 (ID: 161498552),,,,白鹿原,6.5
春潮,,2019,,7.1,,https://movie.douban.com/subject/27186348/,女性电影TOP300 (ID: 161498552),,,,小小的我,7.1
孔雀,,2005,,8.2,,https://movie.douban.com/subject/1309004/,女性电影TOP300 (ID: 161498552),,,,最爱,7.4
瀑布,,2021,,7.7,,https://movie.douban.com/subject/35242938/,女性电影TOP300 (ID: 161498552),,,,一路顺风 一路順風,7.7
得闲炒饭 得閒炒飯,,2010,,7.1,,https://movie.douban.com/subject/4145476/,女性电影TOP300 (ID: 161498552),,,,男人四十,8.1
最后的假期 Last Holiday,,2006,,8.4,,https://movie.douban.com/subject/1462631/,女性电影TOP300 (ID: 161498552),,,,喜福会 The Joy Luck Club,8.4
金都,,2019,,7.7,,https://movie.douban.com/subject/30159567/,女性电影TOP300 (ID: 161498552),,,,填词L 填詞L,7.3
所有的美丽与血泪 All the Beauty and the Bloodshed,,2022,,8.1,,https://movie.douban.com/subject/36017999/,女性电影TOP300 (ID: 161498552),,,,黑幕：调查记者的真相之路 Cover-Up,7.6
无穷动,,2005,,6.8,,https://movie.douban.com/subject/1438708/,女性电影TOP300 (ID: 161498552),,,,A面B面,5.8
女人们的谈话 Women Talking,,2022,,7.3,,https://movie.douban.com/subject/35290372/,女性电影TOP300 (ID: 161498552),,,,跳支华尔兹 Take This Waltz,7.1
成为一只珍珠鸡 On Becoming a Guinea Fowl,,2024,,7.1,,https://movie.douban.com/subject/36219468/,女性电影TOP300 (ID: 161498552),,,,我不是女巫,6.7
德黑兰禁忌 Tehran Taboo,,2017,,8.2,,https://movie.douban.com/subject/27026997/,女性电影TOP300 (ID: 161498552),,,,,
菲洛梅娜 Philomena,,2013,,8.4,,https://movie.douban.com/subject/19973780/,女性电影TOP300 (ID: 161498552),,,,女王 The Queen,7.7
拿针的女孩 Pigen med n?len,,2024,,7.3,,https://movie.douban.com/subject/35452678/,女性电影TOP300 (ID: 161498552),,,,汗流浃背,5.7
女孩 Girl,,2018,,8.1,,https://movie.douban.com/subject/30194769/,女性电影TOP300 (ID: 161498552),,,,亲密 Close,8.1
"伯纳黛特你去了哪 Where'd You Go, Bernadette",,2019,,7.6,,https://movie.douban.com/subject/21354767/,女性电影TOP300 (ID: 161498552),,,,职业杀手 Hit Man?,7
雪路 ??,,2015,,8.2,,https://movie.douban.com/subject/26334996/,女性电影TOP300 (ID: 161498552),,,,我的 ??,7.4
姨妈的后现代生活,,2006,,7.4,,https://movie.douban.com/subject/1794435/,女性电影TOP300 (ID: 161498552),,,,明月几时有?,6.8
革命之间 ?ntre revolu?ii,,2023,,7.7,,https://movie.douban.com/subject/35880615/,女性电影TOP300 (ID: 161498552),,,,,
贝利叶一家 La famille Bélier,,2014,,8.3,,https://movie.douban.com/subject/25855951/,女性电影TOP300 (ID: 161498552),,,,#我在这里 #jesuislà,5.7
狐狸与我 Le renard et l'enfant,,2007,,8.5,,https://movie.douban.com/subject/2028659/,女性电影TOP300 (ID: 161498552),,,,帝企鹅日记 La marche de l'empereur,8.7
最后的决斗 The Last Duel,,2021,,8.3,,https://movie.douban.com/subject/34658290/,女性电影TOP300 (ID: 161498552),,,,火柴人 Matchstick Men,8.2
成长教育 An Education,,2009,,7.7,,https://movie.douban.com/subject/3011093/,女性电影TOP300 (ID: 161498552),,,,他们最好的 Their Finest,7.7
我罩袍下的口红 Lipstick Under My Burkha,,2016,,7.4,,https://movie.douban.com/subject/26881953/,女性电影TOP300 (ID: 161498552),,,,,
水 Water,,2005,,8.4,,https://movie.douban.com/subject/1441191/,女性电影TOP300 (ID: 161498552),,,,午夜之子,7.3
人间世事 Les Choses humaines,,2021,,7.8,,https://movie.douban.com/subject/35212084/,女性电影TOP300 (ID: 161498552),,,,我的笨狗,7.4
越位 ??????,,2006,,8,,https://movie.douban.com/subject/1825608/,女性电影TOP300 (ID: 161498552),,,,无熊之境 ??? ?????,7.7
老妇人 69?,,2019,,7.6,,https://movie.douban.com/subject/34814907/,女性电影TOP300 (ID: 161498552),,,,,
哈姆奈特 Hamnet,,2025,,7.8,,https://movie.douban.com/subject/35618471/,女性电影TOP300 (ID: 161498552),,,,哥哥教我唱的歌 Songs My Brothers Taught Me,7
琳达！琳达！琳达！ リンダ リンダ リンダ,,2005,,8.3,,https://movie.douban.com/subject/1432699/,女性电影TOP300 (ID: 161498552),,,,桃花期,7.1
黑鸟黑鸟黑莓 ????? ????? ???????,,2023,,7.6,,https://movie.douban.com/subject/35634599/,女性电影TOP300 (ID: 161498552),,,,湿沙咖啡馆 ????? ?????,7
萨莉 Sally,,2025,,8.4,,https://movie.douban.com/subject/36781075/,女性电影TOP300 (ID: 161498552),,,,爱与希望：瓦尔特·梅尔卡多传奇 Mucho Mucho Amor: The Legend of Walter Mercado,7.3
吹玻璃的人 Die Glasbl?serin,,2016,,8.1,,https://movie.douban.com/subject/27073192/,女性电影TOP300 (ID: 161498552),,,,,
沙尘暴 ????? ?????,,2016,,6.9,,https://movie.douban.com/subject/26677871/,女性电影TOP300 (ID: 161498552),,,,,
珠峰女王：拉克帕·夏尔巴 Mountain Queen: The Summits of Lhakpa Sherpa,,2023,,8.8,,https://movie.douban.com/subject/36494011/,女性电影TOP300 (ID: 161498552),,,,海啸与樱花 The Tsunami and the Cherry Blossom?,8
玛莎·斯图尔特自传 Martha,,2024,,8.1,,https://movie.douban.com/subject/37022959/,女性电影TOP300 (ID: 161498552),,,,埃尔顿·约翰：永远不迟 Elton John: Never Too Late,6.8
